Price,Close,High,Low,Open,Volume
Ticker,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS
Date,,,,,
2015-12-17,130.46420288085938,131.87083043803625,129.18945420287727,130.06859307246418,2376425
2015-12-18,132.48622131347656,135.69508614781267,129.67297969122976,130.11254911391188,4412706
2015-12-21,134.59616088867188,135.38738047365433,133.18953338804306,134.1565914715496,2212090
2015-12-22,133.0576629638672,136.26651422328786,132.09060491644516,135.38737542184728,2268564
2015-12-23,134.68406677246094,135.38738052303185,133.71702210319572,134.24449735517837,1462354
2015-12-24,133.0576629638672,135.34341579885654,132.39830886278676,135.07967147550568,1322101
2015-12-28,134.37637329101562,135.03572740252287,133.10161127709327,133.10161127709327,1182787
2015-12-29,133.10162353515625,135.16760530731747,132.4862289906598,135.16760530731747,1353465
2015-12-30,131.43125915527344,135.6071687270965,130.81586463813417,133.58514667255804,2895322
2015-12-31,130.68399047851562,132.0466584393273,129.49716102717247,131.87083334445367,2587788
2016-01-01,131.87081909179688,133.18952728271483,129.93671642803588,130.33232620239258,1933916
2016-01-04,127.16742706298828,131.8268655694313,126.55203256166804,131.69500011007483,2314799
2016-01-05,125.67290496826172,128.00263113717017,124.6179409552632,127.47514242337328,2564605
2016-01-06,126.2883071899414,128.79385861066302,125.01355837125338,125.54104711706721,2102529
2016-01-07,119.16728210449219,124.0465057449157,118.81561849123024,123.95858648795142,2630415
2016-01-08,120.3101577758789,121.84865077344976,119.6068440083562,120.13431927305245,1395551
2016-01-11,114.72761535644531,118.59582077657227,114.41991140536065,118.06834553633335,3020570
2016-01-12,111.7385482788086,116.57381873835976,111.43085101785188,115.29905665381723,3352053
2016-01-13,112.39790344238281,114.24409373210105,108.66156323642795,112.70560070611964,3849946
2016-01-14,108.88134002685547,111.91437293876433,107.95824830285463,110.41983294082036,2382115
2016-01-15,99.60643005371094,109.84839184471132,98.46354691552274,109.84839184471132,4941654
2016-01-18,99.03498840332031,100.88117856501148,95.07886375371201,100.39764953602952,5670619
2016-01-19,100.4855728149414,103.29881444018068,98.46355078553391,99.82621868021684,3345049
2016-01-20,97.80419158935547,99.51850956800298,95.21073480990474,98.46354568995785,3648280
2016-01-21,100.39765167236328,102.243848580636,98.11189205652204,100.13391404782217,4095926
2016-01-22,105.80435180664062,106.37579336036639,101.71635510050606,101.98009941985538,3823638
2016-01-25,104.52960968017578,108.83739134846202,104.090040259071,107.34285129232752,2369822
2016-01-27,114.41991424560547,115.4309319566989,104.61752158095834,104.9252188323841,9401907
2016-01-28,110.46379852294922,114.7276206301983,108.39782355420968,112.96934291939067,4834537
2016-01-29,115.03531646728516,115.87049563798799,106.90327592209474,109.89234916072583,4747293
2016-02-01,110.46379852294922,115.21114968358927,108.39782355420968,115.16719005790021,2328292
2016-02-02,111.21106719970703,117.49690476254828,110.24401578290816,111.21106719970703,7372009
2016-02-03,108.13407897949219,110.15610102544221,105.93623184576268,108.92530528909425,3875843
2016-02-04,109.67256927490234,112.35394539500312,107.56263473697187,110.72753319021908,3283362
2016-02-05,116.09028625488281,117.49690034709677,109.54069788661113,110.24401164001515,4027921
2016-02-08,118.63977813720703,122.20029295292683,115.29904802104285,115.91445591147338,4424609
2016-02-09,113.76055908203125,120.09036938113033,112.66163554602016,115.95840615405345,4756601
2016-02-10,108.3538589477539,112.83747227005018,105.23291347161386,112.35394323888589,5956092
2016-02-11,104.00212860107422,113.23308652280399,102.94715795706968,107.254939662003,17588173
2016-02-12,96.74922943115234,105.45269834798192,92.79310475721276,104.6175191552912,8972022
2016-02-15,105.49665069580078,107.95824189495471,99.69433624899102,100.22181816101075,6918952
2016-02-16,99.65037536621094,108.48572243300318,99.07893384072004,108.1340655936783,4908581
2016-02-17,100.70535278320312,101.76031666615381,95.21073525263326,98.9031155502575,7056993
2016-02-18,100.39765167236328,105.80435681666843,98.59542109579289,102.77133053701522,5326944
2016-02-19,103.7383804321289,104.48564708530775,98.81520439714826,99.34268634602175,5504901
2016-02-22,101.71636199951172,105.05709230380685,100.83722315178112,104.61752287994155,3327515
